Name,Artist,Duration,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence
Don't Be Cruel - 2005 DSD remaster,Elvis Presley,2:02,0.902,0.693,0.67,1.17E-05,0.0821,-8.676,0.142,84.815,0.922
Hey Joe,Jimi Hendrix,3:29,0.0039,0.35,0.773,0.394,0.0557,-5.632,0.036,167.4,0.491
Flash Light,Parliament,5:47,0.329,0.734,0.9,0.155,0.495,-4.355,0.0677,105.182,0.68
Loser,Beck,3:54,0.0343,0.595,0.617,1.35E-04,0.383,-10.455,0.117,85.387,0.823
Bizarre Love Triangle,New Order,4:20,0.044,0.621,0.909,0.579,0.123,-5.541,0.0463,118.487,0.941
Try a Little Tenderness,Otis Redding,3:21,0.192,0.583,0.132,1.91E-05,0.258,-15.067,0.057,102.937,0.0695
A Hard Day's Night - Remastered 2015,The Beatles,2:32,0.0487,0.546,0.818,0,0.0983,-4.89,0.031,138.561,0.756
Lean on Me - Single Version,Bill Withers,4:17,0.87,0.609,0.272,9.01E-05,0.106,-10.265,0.0576,74.783,0.434
"Reach Out, I'll Be There",Four Tops,3:02,0.0678,0.622,0.79,0,0.244,-3.468,0.0322,119.566,0.73
Bye Bye Love,The Everly Brothers,2:22,0.724,0.547,0.523,0,0.103,-9.176,0.0572,169.598,0.89
Gloria,Them,2:39,0.401,0.648,0.743,0.00224,0.169,-8.969,0.0495,129.143,0.73
96 Tears,? & The Mysterians,5:21,0.162,0.574,0.62,0.422,0.503,-11.903,0.0339,128.925,0.788
Ticket To Ride - Remastered 2015,The Beatles,3:10,0.0638,0.554,0.904,0,0.259,-6.319,0.0536,123.443,0.801
"Caroline, No",The Beach Boys,3:34,0.811,0.381,0.387,1.00E-05,0.0595,-14.202,0.0497,76.161,0.323
Your Cheatin' Heart - Single Version,Hank Williams,2:42,0.946,0.671,0.145,2.10E-06,0.166,-17.089,0.0317,128.087,0.62
Sh-Boom,The Chords,2:24,0.851,0.667,0.467,0,0.272,-8.991,0.0499,136.676,0.905
Do You Believe in Magic?,The Lovin' Spoonful,2:05,0.213,0.553,0.738,0,0.339,-7.963,0.0457,138.602,0.759
Jolene,Dolly Parton,2:41,0.577,0.683,0.531,0,0.135,-11.532,0.0374,110.476,0.771
Boom Boom,John Lee Hooker,2:32,0.77,0.397,0.474,0.046,0.16,-14.961,0.0493,159.854,0.91
Riders on the Storm - New Stereo Mix,The Doors,7:07,0.507,0.547,0.543,0.136,0.241,-16.041,0.0342,104.828,0.595
Spoonful,Howlin' Wolf,2:47,0.728,0.884,0.403,2.85E-04,0.184,-12.037,0.0589,119.771,0.629
Walk on the Wild Side - Remastered,Lou Reed,4:11,0.666,0.554,0.282,3.17E-05,0.0926,-18.052,0.0997,104.425,0.396
"Oh, Pretty Woman",Roy Orbison,2:59,0.591,0.673,0.521,2.67E-05,0.108,-13.234,0.0364,125.331,0.964
Dance to the Music,Sly & The Family Stone,2:57,0.0156,0.703,0.543,1.59E-04,0.908,-11.269,0.107,128.199,0.821
"Another Brick In The Wall, Pt. 2 - 2011 Remastered Version",Pink Floyd,3:48,0.0704,0.693,0.353,0.00113,0.503,-17.852,0.0414,104.143,0.75
I'm Your Hoochie Coochie Man,Muddy Waters,3:58,0.449,0.532,0.498,0.0884,0.141,-12.725,0.0595,114.135,0.841
Moondance,Van Morrison,4:35,0.38,0.625,0.428,7.87E-06,0.27,-7.813,0.0294,133.166,0.584
Fire And Rain,James Taylor,3:22,0.615,0.591,0.22,6.80E-04,0.099,-20.512,0.036,75.694,0.314
Should I Stay Or Should I Go,The Clash,3:07,0.171,0.751,0.854,0,0.787,-6.874,0.106,113.083,0.864
Sexual Healing,Marvin Gaye,3:58,0.119,0.805,0.602,1.22E-04,0.0581,-9.7,0.0579,94.382,0.744
Only The Lonely (Know The Way I Feel),Roy Orbison,2:26,0.655,0.545,0.434,0.0297,0.142,-11.731,0.0295,121.371,0.885
We Gotta Get Out of This Place,The Animals,5:07,0.149,0.483,0.574,0,0.101,-6.526,0.0311,123.22,0.75
I'll Feel a Whole Lot Better,The Byrds,2:32,0.0509,0.403,0.891,0,0.338,-7.381,0.0303,134.977,0.954
I've Got a Woman,Ray Charles,2:51,0.833,0.556,0.61,2.22E-06,0.258,-4.729,0.213,199.373,0.665
Everyday,Buddy Holly,2:09,0.432,0.729,0.205,0,0.082,-14.853,0.0385,135.429,0.576
Don't Stop..Planet Rock,Afrika Bambaataa,6:22,0.0455,0.94,0.837,5.36E-05,0.207,-6.911,0.148,127.061,0.773
The Wanderer,Dion & The Belmonts,2:35,0.535,0.577,0.463,2.77E-05,0.426,-12.085,0.048,115.524,0.843
Son Of A Preacher Man,Dusty Springfield,2:26,0.195,0.367,0.472,0,0.0874,-11.902,0.0689,179.686,0.761
Stand!,Sly & The Family Stone,3:07,0.214,0.609,0.788,2.44E-06,0.191,-9.726,0.0629,108.694,0.517
Rocket Man (I Think It's Going To Be A Long Long Time),Elton John,4:43,0.405,0.602,0.537,4.94E-06,0.0822,-9.347,0.0284,136.553,0.353
Gimme Some Lovin' - Single Mix / U.S Version,The Spencer Davis Group,2:54,0.0175,0.5,0.716,0.475,0.201,-8.238,0.0318,147.49,0.545
The Night They Drove Old Dixie Down - Remastered 2000,The Band,3:33,0.453,0.507,0.493,0,0.241,-8.786,0.0327,127.671,0.467
Hot Fun in the Summertime,Sly & The Family Stone,2:37,0.634,0.656,0.65,0.0147,0.161,-11.643,0.0574,146.268,0.931
Rapper's Delight - Single Version,The Sugarhill Gang,3:55,0.185,0.917,0.692,1.09E-05,0.0686,-11.665,0.244,111.782,0.819
Chain of Fools,Aretha Franklin,2:43,0.0203,0.701,0.672,5.40E-06,0.518,-6.551,0.032,116.969,0.896
Paranoid,Black Sabbath,4:27,9.44E-05,0.239,0.961,0.0619,0.964,-6.695,0.128,176.343,0.182
Mack the Knife,Bobby Darin,3:04,0.76,0.549,0.529,0,0.206,-12.291,0.108,82.755,0.464
Wish You Were Here - 2011 Remastered Version,Pink Floyd,5:34,0.735,0.481,0.262,0.0114,0.832,-15.73,0.0414,122.883,0.375
All the Young Dudes,Mott The Hoople,3:31,0.208,0.429,0.668,0,0.538,-7.539,0.044,77.737,0.398
Highway To Hell (AC/DC),The Rock Masters,3:29,0.0162,0.674,0.711,0.00771,0.11,-7.049,0.0532,116.689,0.601
Sign 'O' the Times - Single Version,Prince,3:43,0.039,0.825,0.393,9.08E-04,0.0609,-10.875,0.0771,98.94,0.62
Heart Of Glass - Special Mix,Blondie,4:35,0.015,0.694,0.577,0.00836,0.0853,-14.63,0.0308,114.478,0.845
Paranoid Android,Radiohead,6:23,0.0342,0.328,0.762,0.00876,0.198,-8.651,0.0476,125.75,0.274
Wild Thing - Rerecorded,The Troggs,2:42,0.575,0.648,0.623,0.397,0.129,-15.543,0.0814,104.484,0.441
I Can See For Miles,The Who,4:07,0.0675,0.362,0.886,2.28E-05,0.0832,-3.358,0.109,131.131,0.198
Hallelujah - Radio Edit,Jeff Buckley,4:15,0.898,0.341,0.177,6.00E-05,0.103,-9.385,0.0339,102.334,0.158
Oh What A Night,The Dells,2:55,0.753,0.374,0.235,1.63E-06,0.545,-13.263,0.0302,108.938,0.249
Higher Ground,Stevie Wonder,3:42,0.0631,0.716,0.85,0.00133,0.19,-9.949,0.0426,125.476,0.821
Ooo Baby Baby,Smokey Robinson & The Miracles,2:44,0.769,0.215,0.361,0,0.177,-8.769,0.0287,178.605,0.437
He's A Rebel (Re-Recorded),The Crystals,2:18,0.837,0.73,0.82,0.00106,0.174,-4.188,0.0479,118.629,0.917
Sail Away - 2002 Remaster,Randy Newman,2:53,0.936,0.341,0.161,4.88E-04,0.12,-12.324,0.0326,134.75,0.0961
Tighten Up,Archie Bell & The Drells,3:11,0.289,0.624,0.695,2.59E-04,0.144,-6.365,0.185,122.938,0.787
Walking In The Rain,The Ronettes,3:14,0.46,0.491,0.763,0,0.202,-5.499,0.038,108.483,0.397
Personality Crisis,New York Dolls,3:41,0.45,0.433,0.853,1.47E-05,0.602,-11.576,0.0497,155.976,0.681
Sunday Bloody Sunday,U2,4:39,0.411,0.543,0.964,0.00205,0.047,-5.687,0.0515,100.456,0.777
Roadrunner (Once),The Modern Lovers,4:42,0.388,0.571,0.834,0,0.322,-8.14,0.255,138.309,0.361
He Stopped Loving Her Today,George Jones,3:16,0.718,0.334,0.195,6.64E-05,0.222,-16.469,0.0338,143.828,0.418
Sloop John B - Remastered,The Beach Boys,3:00,0.503,0.56,0.73,0,0.0828,-5.875,0.0262,125.57,0.912
Sweet Little Sixteen - Original Demo,Chuck Berry,3:00,0.568,0.511,0.647,0,0.23,-7.277,0.0352,175.43,0.959
All You Need Is Love - Remastered 2015,The Beatles,3:47,0.437,0.397,0.625,5.47E-06,0.263,-5.829,0.0347,104.54,0.676
Somebody to Love - Stereo Version,Jefferson Airplane,2:57,0.375,0.497,0.62,0,0.345,-8.349,0.036,130.356,0.67
Born In The U.S.A.,Bruce Springsteen,4:38,0.00201,0.397,0.861,2.49E-05,0.35,-12.156,0.0569,121.856,0.512
I'll Take You There,The Staple Singers,3:16,0.0904,0.846,0.595,1.96E-06,0.063,-8.372,0.0439,101.632,0.78
Ziggy Stardust - 1997 Remaster,David Bowie,3:18,0.0277,0.467,0.513,2.66E-06,0.229,-14.531,0.0825,80.966,0.448
"Pictures Of You - Live At The Palace, Auburn Hills, Michigan",The Cure,7:38,0.268,0.306,0.637,0.0104,0.974,-11.918,0.0359,168.766,0.324
Ain't No Sunshine,Bill Withers,2:03,0.461,0.525,0.47,5.87E-05,0.103,-9.772,0.071,79.159,0.426
You Are The Sunshine Of My Life,Stevie Wonder,2:58,0.805,0.524,0.531,2.51E-05,0.203,-11.926,0.0702,132.175,0.683
Help Me,Joni Mitchell,3:24,0.475,0.584,0.526,6.52E-05,0.0756,-10.08,0.0391,82.028,0.641
Call Me,Blondie,3:32,0.0336,0.551,0.628,1.94E-04,0.151,-13.799,0.036,142.167,0.777
"(What's So Funny 'Bout) Peace, Love, & Understanding",Elvis Costello,3:34,4.32E-04,0.33,0.928,0.0452,0.311,-7.985,0.0807,141.521,0.415
Smokestack Lightnin',Howlin' Wolf,3:06,0.834,0.669,0.58,0.00172,0.168,-7.905,0.0447,145.937,0.541
Summer Babe (Winter Version),Pavement,3:13,5.65E-05,0.428,0.739,0.531,0.0738,-12.211,0.0296,97.79,0.73
Walk This Way,Aerosmith,5:11,0.0143,0.754,0.767,1.35E-05,0.0641,-6.198,0.0572,105.591,0.932
Penny Lane - Remastered 2015,The Beatles,3:00,0.0964,0.679,0.592,0.0138,0.16,-5.963,0.0402,113.265,0.55
She's Not There,The Zombies,2:51,0.0165,0.495,0.93,0,0.983,-5.656,0.106,128.251,0.761
Train In Vain,The Clash,3:09,0.117,0.769,0.732,7.46E-05,0.15,-8.502,0.0433,122.733,0.967
Black Dog,Out Of Phase,5:13,0.00167,0.496,0.785,1.42E-04,0.246,-3.569,0.0344,150.044,0.554
Street Fighting Man - Stereo Version,The Rolling Stones,3:14,0.0117,0.563,0.756,0.00889,0.215,-10.069,0.0314,128.123,0.751
"Get Up, Stand Up",The Wailers,3:17,0.229,0.797,0.574,0,0.0602,-7.268,0.373,78.183,0.814
One Way Or Another,Blondie,3:28,0.00402,0.445,0.872,0.00909,0.047,-6.294,0.0602,162.407,0.834
Like a Prayer,Madonna,5:51,0.018,0.705,0.693,1.21E-06,0.441,-10.122,0.0455,111.872,0.444
Da Ya Think I'm Sexy? - 2008 Remaster,Rod Stewart,5:29,0.0176,0.724,0.658,3.47E-04,0.158,-9.209,0.027,112.105,0.864
Blue Eyes Crying in the Rain,Willie Nelson,2:19,0.931,0.64,0.0697,0.0031,0.108,-16.4,0.0397,117.733,0.413
Ruby Tuesday - Stereo Version,The Rolling Stones,3:16,0.823,0.509,0.553,1.81E-06,0.216,-10.892,0.0289,104.48,0.502
With A Little Help From My Friends,Ringo Starr,4:42,0.278,0.601,0.941,0,0.956,-4.741,0.0816,118.04,0.43
Say It Loud - I'm Black And I'm Proud - Pt. 1 & 2,James Brown,4:50,0.0824,0.842,0.479,5.93E-04,0.0911,-11.031,0.0998,114.857,0.822
"That's Entertainment - ""The Sound Of The Jam"" Version",The Jam,3:35,0.547,0.586,0.693,0,0.158,-7.709,0.0283,141.485,0.795
Why Do Fools Fall in Love,Frankie Lymon,2:19,0.51,0.388,0.532,3.06E-06,0.0974,-8.685,0.102,173.586,0.845
Lonely Teardrops,Jackie Wilson,2:41,0.441,0.566,0.546,0,0.706,-6.176,0.104,137.51,0.87
What's Love Got To Do WIth It - 1997 Digital Remaster,Tina Turner,3:48,0.214,0.848,0.567,1.55E-06,0.0916,-5.636,0.0476,97.854,0.779
Iron Man - Live,Black Sabbath,8:20,2.61E-05,0.284,0.935,9.68E-05,0.978,-6.404,0.0674,133.463,0.278
Wake up Little Susie,The Everly Brothers,2:03,0.318,0.709,0.62,0,0.0426,-9.382,0.034,93.723,0.936
In Dreams,Roy Orbison,2:48,0.64,0.496,0.43,7.02E-04,0.152,-9.988,0.0288,108.143,0.701
I Put a Spell on You,Screamin' Jay Hawkins,3:31,0.238,0.564,0.809,0.00484,0.395,-6.126,0.168,132.49,0.665
Don't Let Me Be Misunderstood,The Animals,2:25,0.146,0.546,0.568,0,0.77,-9.604,0.0285,112.584,0.488
Money - 2011 Remastered Version,Pink Floyd,6:22,0.0241,0.469,0.537,0.00201,0.269,-10.421,0.152,124.193,0.783
Many Rivers To Cross - Harder They Come/Soundtrack Version,Jimmy Cliff,3:00,0.631,0.464,0.271,0.00226,0.149,-10.227,0.0676,68.705,0.16
School's Out,Alice Cooper,3:30,0.05,0.294,0.745,0.125,0.676,-9.138,0.0461,134.364,0.347
Fight The Power,Public Enemy,4:42,0.00484,0.797,0.582,2.04E-06,0.517,-12.97,0.255,105.974,0.415
Dancing Barefoot - Digitally Remastered 1996,Patti Smith,4:16,0.384,0.488,0.741,0,0.109,-5.746,0.0332,115.908,0.7
Baby Love - Juke Box Single Version,The Supremes,2:36,0.776,0.594,0.698,0,0.237,-6.524,0.0365,135.821,0.649
Get Up (I Feel Like Being a) Sex Machine,James Brown,4:13,0.204,0.633,0.785,0.153,0.803,-13.232,0.173,124.554,0.465
For Your Precious Love,Jerry Butler,2:43,0.652,0.445,0.128,0,0.111,-17.582,0.0301,79.568,0.191
The End - New Stereo Mix Advanced Resolution,The Doors,11:39,0.0409,0.334,0.213,8.39E-05,0.109,-17.076,0.0303,106.979,0.0704
That's the Way of the World,"Earth, Wind & Fire",5:45,0.727,0.583,0.653,0.00499,0.682,-8.071,0.0525,82.129,0.705
We Will Rock You,Queen,2:02,0.601,0.692,0.379,0,0.195,-10.652,0.0716,81.243,0.534
I Can't Make You Love Me,Bonnie Raitt,5:32,0.846,0.588,0.149,9.65E-05,0.236,-16.728,0.0319,124.689,0.113
Wild Horses - Remastered,The Rolling Stones,5:42,0.722,0.434,0.228,0.00942,0.112,-13.016,0.0281,145.28,0.176
"Sweet Jane - Live From The Matrix, San Francisco, CA / 1969",The Velvet Underground,3:59,0.113,0.609,0.375,0.0081,0.144,-13.934,0.0385,87.2,0.636
Beat It - Single Version,Michael Jackson,4:17,0.0398,0.783,0.8,3.64E-05,0.222,-5.703,0.0427,138.998,0.913
Break on Through (To the Other Side),The Doors,2:25,0.2,0.421,0.751,0,0.17,-9.584,0.0472,89.839,0.789
You Keep Me Hangin' On - Album Version / Stereo,The Supremes,2:40,0.49,0.685,0.641,3.07E-06,0.109,-6.271,0.0466,128.259,0.756
"The Harder They Come - From ""The Harder They Come"" Soundtrack",Jimmy Cliff,3:39,0.632,0.679,0.575,0,0.165,-8.037,0.0717,102.588,0.79
Runaround Sue - Remastered 1991,Dion,2:39,0.79,0.544,0.567,3.85E-06,0.363,-10.8,0.0753,78.227,0.559
Jim Dandy,LaVern Baker,2:10,0.763,0.626,0.768,0,0.384,-7.925,0.197,171.459,0.912
La Bamba - Recorded at Gold Star,Ritchie Valens,2:09,0.776,0.596,0.811,1.53E-04,0.33,-6.596,0.0454,74.936,0.958
Candle In The Wind,Elton John,3:51,0.248,0.603,0.546,3.16E-06,0.21,-8.498,0.0287,124.139,0.598
"That Lady (Part 1 & 2) - Ahmir ""?uest Love"" Thompson",The Isley Brothers,3:31,0.0174,0.735,0.632,1.02E-05,0.328,-4.095,0.152,132.061,0.715
Spanish Harlem,Ben E. King,2:54,0.32,0.608,0.594,4.75E-05,0.129,-11.86,0.0435,125.166,0.789
The Locomotion - 2004 Remaster,Little Eva,2:23,0.839,0.621,0.908,0,0.137,-5.391,0.0449,127.996,0.901
U Got the Look,Prince,3:47,0.153,0.841,0.591,4.91E-05,0.0496,-9.905,0.0608,122.35,0.767
The Great Pretender,The Platters,2:45,0.819,0.664,0.437,0,0.11,-6.402,0.0308,114.571,0.673
All Shook Up,Elvis Presley,1:57,0.857,0.637,0.604,0,0.134,-8.465,0.173,74.276,0.953
Watching The Detectives - Live,Elvis Costello,5:23,0.376,0.324,0.727,0,0.904,-8.033,0.134,169.193,0.54
Bad Moon Rising,Creedence Clearwater Revival,2:20,0.0721,0.561,0.617,3.84E-05,0.073,-11.902,0.0304,179.502,0.956
Sweet Dreams (Are Made of This),Eurythmics,3:37,0.323,0.705,0.51,0,0.094,-15.322,0.0428,125.468,0.894
The Power Of Love,Huey Lewis & The News,3:54,0.0964,0.768,0.829,2.92E-05,0.097,-5.109,0.0313,118.773,0.962
Little Wing,Jimi Hendrix,2:25,0.127,0.487,0.537,0.00123,0.0543,-7.011,0.0487,139.601,0.442
Run to the Hills - 1998 Remaster,Iron Maiden,3:53,0.00837,0.225,0.951,2.25E-04,0.219,-4.654,0.0924,173.241,0.471
Got My Mojo Working,Muddy Waters,2:50,0.498,0.525,0.823,3.47E-04,0.343,-7.37,0.0648,113.651,0.839
Tears in Heaven,Eric Clapton,4:31,0.835,0.498,0.242,0.536,0.133,-12.238,0.0257,153.744,0.312
Here I Go Again,Whitesnake,3:52,0.151,0.484,0.877,1.70E-04,0.14,-5.434,0.0337,92.975,0.687
Killing Me Softly With His Song,Roberta Flack,4:46,0.727,0.476,0.381,0,0.0614,-10.238,0.0342,121.948,0.33
Complete Control,The Clash,3:13,0.00419,0.184,0.944,0.247,0.575,-4.932,0.0574,174.399,0.634
Highway 61 Revisited,Bob Dylan,3:25,0.475,0.49,0.808,0,0.232,-6.725,0.0409,73.434,0.604
The Whole Of The Moon,The Waterboys,4:59,0.071,0.538,0.852,3.95E-06,0.602,-5.68,0.0321,105.664,0.597
Shop Around - DO NOT USE,The Miracles,2:51,0.711,0.559,0.608,0,0.602,-7.563,0.0301,131.857,0.908
Gimme All Your Lovin',ZZ Top,3:31,0.0473,0.671,0.701,9.92E-04,0.104,-10.765,0.0323,119.861,0.923
Cold as Ice - 2008 Remaster,Foreigner,3:20,0.0594,0.554,0.708,2.72E-06,0.143,-5.318,0.0271,131.157,0.512
Geno - 2000 Remaster,Dexys Midnight Runners,3:27,0.688,0.481,0.6,0.00633,0.963,-8.722,0.0801,124.637,0.818
Unchained Melody,The Righteous Brothers,3:36,0.471,0.326,0.345,0.00285,0.364,-11.309,0.0282,98.837,0.255
How Deep Is Your Love (2007 Remastered Saturday Night Fever LP Version),Bee Gees,4:05,0.0999,0.63,0.357,0,0.128,-9.392,0.026,104.965,0.683
White Room,Cream,4:58,0.178,0.555,0.576,0.00459,0.0419,-13.451,0.0295,109.833,0.495
Missing - Todd Terry Remix / Radio Edit,Everything But The Girl,3:55,0.0217,0.739,0.853,0.00357,0.057,-6.539,0.0296,123.509,0.652
Personal Jesus - 2006 Digital Remaster,Depeche Mode,4:55,0.153,0.691,0.735,0.144,0.107,-7.616,0.0494,130.008,0.362
Le Freak - Edit,CHIC,3:35,0.0422,0.832,0.553,0.00356,0.249,-13.705,0.0487,119.825,0.89
Welcome to the Black Parade,My Chemical Romance,5:11,2.89E-04,0.217,0.905,1.10E-04,0.222,-4.103,0.0752,96.95,0.236
Wonderful World,Sam Cooke,2:07,0.557,0.588,0.561,0,0.285,-10.438,0.0405,128.6,0.943
Brown Eyed Handsome Man - 1967 Version,Chuck Berry,2:21,0.426,0.619,0.49,0,0.631,-12.217,0.0388,72.715,0.97
Long Train Runnin',The Doobie Brothers,3:27,0.0916,0.575,0.912,0.00211,0.0562,-7.275,0.0393,117.399,0.843
In the End,Linkin Park,3:36,0.00958,0.556,0.864,0,0.209,-5.87,0.0584,105.143,0.4
Fake Plastic Trees,Radiohead,4:50,0.167,0.454,0.229,0.102,0.202,-12.592,0.0297,73.552,0.134
Hit The Road Jack,Jeff Zavac,2:09,0.0841,0.593,0.752,0.00308,0.197,-6.617,0.0313,172.087,0.935
Pride (In The Name Of Love),U2,3:48,8.61E-04,0.454,0.879,0.00281,0.794,-5.44,0.0305,105.859,0.727
Mustang Sally - 45 Version,Wilson Pickett,3:07,0.134,0.776,0.584,3.43E-06,0.121,-6.332,0.034,110.014,0.613
Radio Free Europe - 2006 Remaster,R.E.M.,4:06,0.00217,0.358,0.883,0.0258,0.121,-6.669,0.0485,155.482,0.703
Can't Get Enough (Remastered Album Version),Bad Company,4:14,0.132,0.662,0.763,0.0013,0.067,-7.475,0.0397,126.333,0.699
Goodbye Yellow Brick Road,Elton John,3:14,0.562,0.559,0.446,2.45E-04,0.111,-7.836,0.0284,121.169,0.435
Tell It Like It Is,Aaron Neville,2:38,0.19,0.65,0.283,1.46E-04,0.207,-14.548,0.029,94.757,0.629
Bitter Sweet Symphony,The Verve,5:59,0.0339,0.356,0.913,0,0.221,-6.015,0.0499,171.157,0.537
How You Remind Me,Nickelback,3:43,0.00135,0.446,0.764,0,0.099,-5.042,0.033,172.094,0.543
I Know You Got Soul,Eric B. & Rakim,4:44,0.0302,0.905,0.732,8.74E-05,0.358,-11.774,0.26,103.938,0.75
Many of Horror,Biffy Clyro,4:18,0.00427,0.498,0.647,9.87E-06,0.146,-7.631,0.0358,163.87,0.257
Tiny Dancer,Elton John,6:17,0.34,0.419,0.463,7.95E-05,0.128,-9.561,0.0272,145.486,0.261
Just My Imagination (Running Away With Me),The Temptations,3:47,0.878,0.432,0.313,0.0135,0.3,-11.974,0.0256,92.831,0.441
Baby I Need Your Loving - Single Version (Mono),Four Tops,2:46,0.557,0.645,0.588,0,0.118,-8.69,0.0355,121.263,0.794
Band Of Gold - Re-Recorded,Freda Payne,3:05,0.451,0.631,0.746,0,0.424,-5.439,0.0277,108.875,0.93
O-o-h Child,The Five Stairsteps,3:14,0.00468,0.507,0.707,1.91E-05,0.606,-7.601,0.0389,88.482,0.733
Summer in the City - Remastered,The Lovin' Spoonful,2:40,0.0592,0.423,0.681,1.77E-04,0.0889,-9.756,0.0398,110.461,0.56
Can't Help Falling In Love,Elvis Presley,2:57,0.893,0.438,0.325,5.00E-06,0.118,-11.066,0.0268,101.591,0.362
Remember (Walkin' In The Sand),The Shangri-Las,2:41,0.537,0.511,0.441,0.248,0.314,-10.083,0.0485,67.156,0.207
Step On,Happy Mondays,5:16,2.26E-05,0.597,0.91,0.341,0.0945,-7.66,0.0374,104.932,0.58
(Don't Fear) The Reaper,Blue Ã–yster Cult,5:08,0.00127,0.366,0.931,0.00213,0.305,-8.349,0.0609,141.162,0.559
Sweet Home Alabama,Lynyrd Skynyrd,4:47,0.162,0.598,0.606,3.57E-04,0.353,-11.812,0.0256,97.736,0.91
It's My Life,Talk Talk,3:52,0.0733,0.599,0.907,0.533,0.474,-4.406,0.0445,126.275,0.833
Tonight's The Night,The Shirelles,1:58,0.874,0.491,0.348,3.79E-04,0.392,-13.682,0.0258,156.066,0.931
Black Dog - 1990 Remaster,Led Zeppelin,4:54,0.274,0.432,0.848,0.0344,0.233,-8.095,0.0878,81.201,0.743
Thank You (Falettinme Be Mice Elf Agin) - Single Version,Sly & The Family Stone,4:51,0.296,0.9,0.709,4.70E-04,0.0863,-12.683,0.0636,105.822,0.897
Câ€™Mon Everybody,Eddie Cochran,1:57,0.172,0.626,0.716,1.59E-04,0.0931,-9.712,0.0432,175.26,0.892
I'm a Believer,The Monkees,2:45,0.595,0.502,0.772,2.47E-06,0.199,-6.205,0.0322,79.463,0.935
Visions Of Johanna,Bob Dylan,7:28,0.256,0.597,0.333,0,0.0461,-15.003,0.0361,92.616,0.603
We've Only Just Begun,Carpenters,3:05,0.572,0.377,0.431,0,0.0873,-9.095,0.0362,87.106,0.342
Blue Monday,New Order,7:29,7.57E-04,0.748,0.783,0.528,0.09,-9.115,0.0527,130.376,0.929
In Bloom - Nevermind Version,Nirvana,4:13,2.67E-05,0.438,0.851,1.36E-04,0.301,-5.802,0.0505,157.088,0.592
Groove Is in the Heart,Deee-Lite,3:51,0.0153,0.694,0.881,0.0196,0.0851,-4.053,0.0701,121.554,0.924
Ironic,Alanis Morissette,3:45,0.246,0.495,0.595,0,0.236,-7.57,0.0443,85.341,0.392
I Feel Love,Donna Summer,5:55,0.031,0.674,0.711,0.691,0.0925,-15.581,0.0423,126.696,0.961
Ordinary World,Duran Duran,5:40,0.0131,0.472,0.652,1.12E-05,0.14,-10.171,0.0305,140.124,0.401
Ode To Billie Joe,Bobbie Gentry,4:15,0.721,0.637,0.189,0,0.0939,-10.726,0.0471,120.142,0.695
Here Comes the Rain Again - Remastered Version,Eurythmics,4:54,0.0139,0.648,0.755,2.53E-04,0.225,-7.901,0.03,126.341,0.607
My Best Friend's Girl,The Cars,3:43,0.0811,0.799,0.608,0.0137,0.102,-8.193,0.0411,121.915,0.963
Young Blood,The Coasters,2:23,0.662,0.503,0.447,1.24E-05,0.341,-13.25,0.27,111.264,0.681
We Are Family - 1995 Remaster,Sister Sledge,3:36,0.3,0.784,0.893,1.57E-05,0.272,-5.153,0.0923,118.738,0.819
Suite: Judy Blue Eyes - 2005 Remaster,"Crosby, Stills & Nash",7:24,0.467,0.458,0.364,0,0.197,-13.126,0.0431,154.215,0.3
Parklife - 2012 Remaster,Blur,3:05,0.121,0.628,0.89,0,0.281,-6.094,0.0675,138.787,0.722
It's Your Thing,The Isley Brothers,2:47,0.0923,0.381,0.691,4.13E-06,0.0491,-9.708,0.102,185.082,0.881
Piano Man,Billy Joel,5:38,0.62,0.336,0.366,0,0.344,-13.484,0.0292,178.122,0.48
Lola - Mono Single Version,The Kinks,4:06,0.49,0.434,0.821,2.66E-05,0.168,-8.638,0.0489,149.059,0.858
Blue Suede Shoes,Elvis Presley,1:59,0.654,0.557,0.66,1.66E-06,0.138,-7.706,0.056,95.252,0.962
Tumbling Dice,The Rolling Stones,3:45,0.298,0.629,0.785,0.205,0.167,-8.919,0.0286,111.041,0.791
Kiss from a Rose,Seal,4:48,0.684,0.584,0.533,0,0.306,-7.11,0.0305,131.745,0.224
"William, It Was Really Nothing - 2011 Remaster",The Smiths,2:11,0.0482,0.517,0.939,5.74E-04,0.334,-4.929,0.0441,130.661,0.487
Smoke On The Water - 1997 Digital Remaster,Deep Purple,5:42,0.103,0.633,0.589,0.654,0.0517,-11.285,0.0288,114.136,0.889
New Year's Day - Remastered 2008,U2,5:35,0.00279,0.539,0.836,0.062,0.181,-6.903,0.0322,133.468,0.647
Devil with the Blue Dress On / Good Golly Miss Molly (Medley),Mitch Ryder and The Detroit Wheels,3:32,0.25,0.544,0.84,0,0.167,-10.409,0.0627,79.264,0.743
Everybody Needs Somebody to Love,Solomon Burke,2:46,0.145,0.629,0.543,0,0.116,-9.185,0.045,75.519,0.858
Midnight Train to Georgia,Gladys Knight & The Pips,4:39,0.245,0.558,0.536,0,0.137,-6.902,0.0337,91.57,0.61
Mustang Sally - 2006 Remaster; Single Version,Wilson Pickett,3:06,0.167,0.778,0.492,6.23E-06,0.137,-9.887,0.039,109.972,0.631
